service_id,date,exception_type
1,20210314,1
2,20210314,1
2,20210412,1
2,20210419,1
2,20210426,1
2,20210503,1
2,20210510,1
2,20210517,1
2,20210531,1
2,20210607,1
2,20210614,1
2,20210621,1
2,20210628,1
2,20210705,1
2,20210712,1
2,20210719,1
2,20210726,1
2,20210802,1
3,20210314,1
3,20210410,1
3,20210417,1
3,20210424,1
3,20210427,1
3,20210501,1
3,20210508,1
3,20210513,1
3,20210515,1
3,20210522,1
3,20210524,1
3,20210529,1
3,20210605,1
3,20210612,1
3,20210619,1
3,20210626,1
3,20210703,1
3,20210710,1
3,20210717,1
3,20210724,1
3,20210731,1
3,20210807,1
4,20210314,1
4,20210409,1
4,20210416,1
4,20210423,1
4,20210430,1
4,20210507,1
4,20210514,1
4,20210521,1
4,20210528,1
4,20210604,1
4,20210611,1
4,20210618,1
4,20210625,1
4,20210702,1
4,20210709,1
4,20210716,1
4,20210723,1
4,20210730,1
4,20210806,1
5,20210314,1
5,20210408,1
5,20210415,1
5,20210422,1
5,20210429,1
5,20210506,1
5,20210520,1
5,20210527,1
5,20210603,1
5,20210610,1
5,20210617,1
5,20210624,1
5,20210701,1
5,20210708,1
5,20210715,1
5,20210722,1
5,20210729,1
5,20210805,1
6,20210314,1
6,20210407,1
6,20210414,1
6,20210421,1
6,20210428,1
6,20210505,1
6,20210512,1
6,20210519,1
6,20210526,1
6,20210602,1
6,20210609,1
6,20210616,1
6,20210623,1
6,20210630,1
6,20210707,1
6,20210714,1
6,20210721,1
6,20210728,1
6,20210804,1
7,20210314,1
7,20210407,1
7,20210408,1
7,20210412,1
7,20210414,1
7,20210415,1
7,20210419,1
7,20210421,1
7,20210422,1
7,20210426,1
7,20210428,1
7,20210429,1
7,20210503,1
7,20210505,1
7,20210506,1
7,20210510,1
7,20210512,1
7,20210517,1
7,20210519,1
7,20210520,1
7,20210526,1
7,20210527,1
7,20210531,1
7,20210602,1
7,20210603,1
7,20210607,1
7,20210609,1
7,20210610,1
7,20210614,1
7,20210616,1
7,20210617,1
7,20210621,1
7,20210623,1
7,20210624,1
7,20210628,1
7,20210630,1
7,20210701,1
7,20210705,1
7,20210707,1
7,20210708,1
7,20210712,1
7,20210714,1
7,20210715,1
7,20210719,1
7,20210721,1
7,20210722,1
7,20210726,1
7,20210728,1
7,20210729,1
7,20210802,1
7,20210804,1
7,20210805,1
8,20210314,1
8,20210405,1
8,20210411,1
8,20210418,1
8,20210425,1
8,20210502,1
8,20210509,1
8,20210516,1
8,20210523,1
8,20210530,1
8,20210606,1
8,20210613,1
8,20210620,1
8,20210627,1
8,20210704,1
8,20210711,1
8,20210718,1
8,20210725,1
8,20210801,1
8,20210808,1
9,20210314,1
9,20210405,1
9,20210410,1
9,20210411,1
9,20210417,1
9,20210418,1
9,20210424,1
9,20210425,1
9,20210427,1
9,20210501,1
9,20210502,1
9,20210508,1
9,20210509,1
9,20210513,1
9,20210515,1
9,20210516,1
9,20210522,1
9,20210523,1
9,20210524,1
9,20210529,1
9,20210530,1
9,20210605,1
9,20210606,1
9,20210612,1
9,20210613,1
9,20210619,1
9,20210620,1
9,20210626,1
9,20210627,1
9,20210703,1
9,20210704,1
9,20210710,1
9,20210711,1
9,20210717,1
9,20210718,1
9,20210724,1
9,20210725,1
9,20210731,1
9,20210801,1
9,20210807,1
9,20210808,1
10,20210314,1
10,20210405,1
10,20210407,1
10,20210411,1
10,20210414,1
10,20210418,1
10,20210421,1
10,20210425,1
10,20210428,1
10,20210502,1
10,20210505,1
10,20210509,1
10,20210512,1
10,20210516,1
10,20210519,1
10,20210523,1
10,20210526,1
10,20210530,1
10,20210602,1
10,20210606,1
10,20210609,1
10,20210613,1
10,20210616,1
10,20210620,1
10,20210623,1
10,20210627,1
10,20210630,1
10,20210704,1
10,20210707,1
10,20210711,1
10,20210714,1
10,20210718,1
10,20210721,1
10,20210725,1
10,20210728,1
10,20210801,1
10,20210804,1
10,20210808,1
11,20210314,1
11,20210405,1
11,20210407,1
11,20210410,1
11,20210411,1
11,20210414,1
11,20210417,1
11,20210418,1
11,20210421,1
11,20210424,1
11,20210425,1
11,20210427,1
11,20210428,1
11,20210501,1
11,20210502,1
11,20210505,1
11,20210508,1
11,20210509,1
11,20210512,1
11,20210513,1
11,20210515,1
11,20210516,1
11,20210519,1
11,20210522,1
11,20210523,1
11,20210524,1
11,20210526,1
11,20210529,1
11,20210530,1
11,20210602,1
11,20210605,1
11,20210606,1
11,20210609,1
11,20210612,1
11,20210613,1
11,20210616,1
11,20210619,1
11,20210620,1
11,20210623,1
11,20210626,1
11,20210627,1
11,20210630,1
11,20210703,1
11,20210704,1
11,20210707,1
11,20210710,1
11,20210711,1
11,20210714,1
11,20210717,1
11,20210718,1
11,20210721,1
11,20210724,1
11,20210725,1
11,20210728,1
11,20210731,1
11,20210801,1
11,20210804,1
11,20210807,1
11,20210808,1
12,20210314,1
12,20210405,1
12,20210406,1
12,20210411,1
12,20210413,1
12,20210418,1
12,20210420,1
12,20210425,1
12,20210502,1
12,20210504,1
12,20210509,1
12,20210511,1
12,20210516,1
12,20210518,1
12,20210523,1
12,20210525,1
12,20210530,1
12,20210601,1
12,20210606,1
12,20210608,1
12,20210613,1
12,20210615,1
12,20210620,1
12,20210622,1
12,20210627,1
12,20210629,1
12,20210704,1
12,20210706,1
12,20210711,1
12,20210713,1
12,20210718,1
12,20210720,1
12,20210725,1
12,20210727,1
12,20210801,1
12,20210803,1
12,20210808,1
13,20210314,1
13,20210405,1
13,20210406,1
13,20210411,1
13,20210412,1
13,20210413,1
13,20210418,1
13,20210419,1
13,20210420,1
13,20210425,1
13,20210426,1
13,20210502,1
13,20210503,1
13,20210504,1
13,20210509,1
13,20210510,1
13,20210511,1
13,20210516,1
13,20210517,1
13,20210518,1
13,20210523,1
13,20210525,1
13,20210530,1
13,20210531,1
13,20210601,1
13,20210606,1
13,20210607,1
13,20210608,1
13,20210613,1
13,20210614,1
13,20210615,1
13,20210620,1
13,20210621,1
13,20210622,1
13,20210627,1
